Ticker,Annualized Return,Annualized Volatility,Sharpe (rf=4.00%),Beta vs SPY,Max Drawdown
BTC-USD,0.7503299388791567,0.5758519837191314,1.2335286826512282,0.8057118335610529,-0.8339900882218974
ETH-USD,0.6366439336688834,0.725914465616773,0.821920435435799,1.2467981296696615,-0.9396254038538314
MSFT,0.20639129443821913,0.22537227751313568,0.7382953053244142,1.225985319190469,-0.371484926040869
AAPL,0.20776449092485394,0.23634511091725965,0.7098284803682078,1.2078748349563082,-0.3851592347337437
GOOG,0.17955175110976818,0.23664580343304673,0.5897072717338552,1.1601733645791996,-0.4460185529301157
SPY,0.09979059007982194,0.14628067690639693,0.4087388118806775,1.0,-0.3371727994644609
DIA,0.08880160239368062,0.1449242294668628,0.3367387397760097,0.9447982051234536,-0.3669605489572286
