Ticker,Annualized Return,Annualized Volatility,Sharpe (rf=4.00%),Beta vs SPY,Max Drawdown,Ticker_key
BTC-USD,0.7503299388791567,0.5758519837191314,1.2335286826512282,0.8057118335610529,-0.8339900882218974,BTC-USD
ETH-USD,0.6366439336688834,0.725914465616773,0.821920435435799,1.2467981296696615,-0.9396254038538314,ETH-USD
MSFT,0.2063912944382191,0.2253722775131356,0.7382953053244142,1.225985319190469,-0.371484926040869,MSFT
AAPL,0.2077644909248539,0.2363451109172596,0.7098284803682078,1.2078748349563082,-0.3851592347337437,AAPL
GOOG,0.1795517511097681,0.2366458034330467,0.5897072717338552,1.1601733645791996,-0.4460185529301157,GOOG
SPY,0.0997905900798219,0.1462806769063969,0.4087388118806775,1.0,-0.3371727994644609,SPY
DIA,0.0888016023936806,0.1449242294668628,0.3367387397760097,0.9447982051234536,-0.3669605489572286,DIA
