target_return,volatility,sharpe,AAPL,MSFT,GOOG,DIA,SPY,BTC-USD,ETH-USD
0.09488404049733487,0.14366397778147164,0.3820306338783087,0.0,0.010839102045411969,0.5272899484849854,4.336808689942018e-18,0.0,0.0,0.46187094946960255
0.10403465753098043,0.14395432956696688,0.4448262009458479,0.0,0.03027215819401749,0.5164760635480379,0.0,0.0,8.673617379884035e-18,0.45325177825794455
0.08573342266096054,0.14460520058296542,0.3162640242300384,7.105427357601002e-15,0.0,0.9361504757758625,3.969047313034935e-15,0.0,0.0,0.06384952422413234
0.11318527455377526,0.14507921422765818,0.5044504475943259,5.637851296924623e-18,0.04972236296243403,0.5064564530937252,0.0,0.0,0.0,0.44382118394384085
0.12233589155586336,0.14699591976082868,0.5601236530226748,1.3010426069826053e-17,0.06696209044713533,0.4904132920383037,2.168404344971009e-18,0.01381851992992188,1.951563910473908e-18,0.42880609758463917
0.13148650829209296,0.14953950920541,0.6117882075326697,0.006378284789353525,0.0808089562871543,0.46674271112452226,0.0,0.03939591330695154,0.0008712359902520173,0.40580289850176643
0.14063712541063253,0.15251664490193753,0.6598435565858297,0.025774056282401855,0.09110577842084233,0.43907928929848966,0.0,0.04173480927270913,0.023562342116784818,0.3787437246087723
0.14978774258990385,0.15586577814548289,0.7043736213053101,0.04424869455894724,0.10169742208091628,0.4098081924916632,6.938893903907228e-18,0.04971391789064092,0.04126115020807773,0.3532706227697545
0.158938359606175,0.1595639626919378,0.7453961257894013,0.06274613035913114,0.11231709436585194,0.3805817623366372,1.3877787807814457e-17,0.057659699015211036,0.058826059132585956,0.3278692547905827
0.16808897660833674,0.16358768007232058,0.7829989186943038,0.08119013366969155,0.12297309586076133,0.3514494106135851,0.0,0.06552555611615599,0.07633313977608219,0.3025286639637238
0.1772395936199666,0.16791050852733744,0.8173377284342075,0.10009868348961186,0.13366575032148476,0.32284318123467826,4.174178364069192e-18,0.07254268328470914,0.09388511221333866,0.27696458945617725
0.18639021063176212,0.17245780727008062,0.8488465262839919,0.1353374590372567,0.14279259687878934,0.30645629716568423,0.0,0.057747229163644935,0.12060988858242573,0.23705652917219897
0.19554082764483094,0.17729515889938108,0.8772987858800126,0.15598579328127365,0.152804151881282,0.2832037588391783,0.0,0.05894682002605728,0.14480782955323213,0.20425164641897667
0.20469144466847514,0.18200527666965974,0.9048718129606249,0.16929262156317484,0.16336544952926216,0.41097468027938155,0.0,0.08545860092871697,0.17090864769946468,0.0
0.21384206167410835,0.18729401401382245,0.9281773504052225,0.1863881547644619,0.174118523275452,0.36080480756749117,0.0,0.08655853650850341,0.19212997788409164,0.0
0.22299267867516084,0.19280450973983923,0.9491099503952579,0.20237546247759428,0.1850617077996633,0.311177794178396,0.0,0.08827555524561441,0.2131094802987321,2.4041411194826905e-17
0.2321432956814078,0.19855122095287359,0.9677265884303641,0.20530492844029147,0.19406425513201686,0.25484027739651643,0.0,0.08778901869658987,0.2580015203345855,2.3422487206842564e-17
0.2412939127370602,0.20443139770496369,0.9846526267338271,0.22481000771854914,0.20618761139839342,0.20935542153866224,0.0,0.09034325476509814,0.2693037045792972,0.0
0.2504445297990878,0.2104905829396107,0.9997812104471386,0.24695723725906832,0.2177070476404726,0.16179798112186175,1.27458435255543e-17,0.09247926493585754,0.2810584690427398,1.2931980507183085e-16
0.25959514673508,0.21671341760684365,1.0132974190525863,0.2707978481479247,0.22846468788998192,0.11085499066768527,2.5041254900273663e-17,0.09751936449995506,0.29236310879445315,0.0
0.2687457637549064,0.22309321268854623,1.0253371718405953,0.2889619268116106,0.24068238190030497,0.06422538286390442,0.0,0.10678474311120577,0.2993455653129743,0.0
0.27789638077620943,0.2295872058171969,1.036191803151385,0.3108449424234224,0.2501966331115118,0.011602429387774957,4.0889267609617245e-17,0.09879848340395188,0.32855751167333896,0.0
0.2870469977937364,0.23637925166765217,1.0451297905836634,0.32122520335251603,0.2708048638072004,0.0,0.0,0.08693546802642882,0.32103446481385467,1.0135882937628629e-17
0.29619761480821566,0.24372740601489445,1.051164573558704,0.32290545594660774,0.2940859645276397,3.132895130659017e-18,4.031498560609598e-17,0.06600261582024355,0.317005963705509,0.0
0.305348231813515,0.25155866992360754,1.054816484337809,0.3056143010004598,0.3170987209604941,0.0,4.5139001097546874e-17,0.03966812890358692,0.33761884913545925,5.959854652509284e-17
0.314498848818251,0.2598936140626895,1.0561969743205717,0.3011482431609777,0.3402395181884127,0.0,0.0,0.016101815603761088,0.34251042304684853,0.0
0.3236494658156983,0.26866247893914974,1.0557836990700256,0.2977664439593146,0.363827904906541,1.9959914717286104e-17,0.0,6.12085738055947e-17,0.3384056511341443,5.206781915480227e-17
0.3328000828517719,0.27786356788610195,1.0537548519919406,0.2926613631030146,0.38839420363567556,4.413412978586315e-18,4.49110779950169e-18,1.753365089568869e-17,0.31894443326131,0.0
0.34195069986351556,0.2874673661424976,1.0503825318169804,0.2837530315778946,0.4129721192015527,0.0,1.188426774207314e-17,0.0,0.3032748492205528,3.303799459593342e-17
0.3511013168899335,0.29745981071097305,1.0458599975114462,0.29311237775973903,0.43749423679596583,8.236106997717098e-18,0.0,0.0,0.26939338544429525,6.98189028685864e-18
0.3602519337857518,0.30774840440074647,1.0406290632419444,0.2806986333150451,0.4620828592173908,2.0497495473325117e-17,2.3626803849792418e-17,0.0,0.25721850746756436,0.0
0.36940255081627277,0.31833626224617534,1.0347628903223713,0.2682130250195113,0.4866717015059468,1.9206663235260942e-18,5.715060998337282e-17,0.0,0.2451152734745419,6.503851224206126e-18
