,AAPL,MSFT,GOOG,DIA,SPY,BTC-USD,ETH-USD
Tangency (Max Sharpe),0.3008787579593869,0.346131869733591,0.0,7.661248774657466e-17,0.01022782408560146,0.34276154822142074,0.0
Minimum Variance,0.0,0.013711092532588454,0.5346173967940052,8.05020113070487e-18,0.0,0.0,0.45167151067340644
