Date,AAPL,BTC-USD,DIA,ETH-USD,GOOG,MSFT,SPY
2015-01-01,,314.2489929199219,,,,,
2015-01-02,24.28858757019043,315.0320129394531,143.34104919433594,,26.014020919799805,39.998695373535156,171.5680389404297
2015-01-03,24.28858757019043,281.0820007324219,143.34104919433594,,26.014020919799805,39.998695373535156,171.5680389404297
2015-01-04,24.28858757019043,264.19500732421875,143.34104919433594,,26.014020919799805,39.998695373535156,171.5680389404297
2015-01-05,23.60433006286621,274.4739990234375,140.84381103515625,,25.471744537353516,39.6308708190918,168.46958923339844
2015-01-06,23.606548309326172,286.1889953613281,139.67568969726562,,24.88138198852539,39.049198150634766,166.8827667236328
2015-01-07,23.93757438659668,294.3370056152344,141.44793701171875,,24.83875274658203,39.54533767700195,168.96231079101562
2015-01-08,24.8573055267334,283.3489990234375,144.00160217285156,,24.917072296142578,40.70867919921875,171.96060180664062
2015-01-09,24.883962631225586,290.4079895019531,142.76107788085938,,24.594383239746094,40.36653137207031,170.58255004882812
2015-01-10,24.883962631225586,274.7959899902344,142.76107788085938,,24.594383239746094,40.36653137207031,170.58255004882812
2015-01-11,24.883962631225586,265.6600036621094,142.76107788085938,,24.594383239746094,40.36653137207031,170.58255004882812
2015-01-12,24.270809173583984,267.7959899902344,141.97161865234375,,24.41494369506836,39.86183547973633,169.24627685546875
2015-01-13,24.48630142211914,225.86099243164062,141.76210021972656,,24.594879150390625,39.65653610229492,168.770263671875
2015-01-14,24.39299774169922,178.10299682617188,140.21543884277344,,24.827354431152344,39.31437301635742,167.75132751464844
2015-01-15,23.730966567993164,209.843994140625,139.40988159179688,,24.87295913696289,38.903785705566406,166.21458435058594
2015-01-16,23.546571731567383,208.0970001220703,140.8272705078125,,25.184741973876953,39.553897857666016,168.39443969726562
2015-01-17,23.546571731567383,199.25999450683594,140.8272705078125,,25.184741973876953,39.553897857666016,168.39443969726562
2015-01-18,23.546571731567383,210.33900451660156,140.8272705078125,,25.184741973876953,39.553897857666016,168.39443969726562
2015-01-19,23.546571731567383,214.86099243164062,140.8272705078125,,25.184741973876953,39.553897857666016,168.39443969726562
2015-01-20,24.153060913085938,211.31500244140625,141.0126495361328,,25.126251220703125,39.68219757080078,168.75352478027344
2015-01-21,24.337461471557617,226.89700317382812,141.37550354003906,,25.678443908691406,39.28016662597656,169.60540771484375
2015-01-22,24.970609664916992,233.406005859375,143.44757080078125,,26.488887786865234,40.31521987915039,172.1275634765625
2015-01-23,25.099458694458008,232.87899780273438,142.23020935058594,,26.76448631286621,40.35797119140625,171.18389892578125
2015-01-24,25.099458694458008,247.8470001220703,142.23020935058594,,26.76448631286621,40.35797119140625,171.18389892578125
2015-01-25,25.099458694458008,253.71800231933594,142.23020935058594,,26.76448631286621,40.35797119140625,171.18389892578125
2015-01-26,25.12611961364746,273.4729919433594,142.30270385742188,,26.529531478881836,40.212547302246094,171.58470153808594
2015-01-27,24.246368408203125,263.4750061035156,139.95657348632812,,25.707691192626953,36.491554260253906,169.32147216796875
2015-01-28,25.617084503173828,233.9149932861328,138.44883728027344,,25.2799129486084,35.23408889770508,167.1500244140625
2015-01-29,26.414644241333008,233.51300048828125,140.20648193359375,,25.31262969970703,35.93552780151367,168.69505310058594
2015-01-30,26.028087615966797,226.4250030517578,138.231201171875,,26.495332717895508,34.55834197998047,166.57371520996094
2015-01-31,26.028087615966797,217.46400451660156,138.231201171875,,26.495332717895508,34.55834197998047,166.57371520996094
2015-02-01,26.028087615966797,226.9720001220703,138.231201171875,,26.495332717895508,34.55834197998047,166.57371520996094
2015-02-02,26.354656219482422,238.22900390625,139.69854736328125,,26.195940017700195,35.31108474731445,168.63661193847656
2015-02-03,26.359098434448242,227.26800537109375,142.16571044921875,,26.233610153198242,35.58481216430664,171.07525634765625
2015-02-04,26.561262130737305,226.85299682617188,142.32687377929688,,25.912405014038086,35.79011154174805,170.4238739013672
2015-02-05,26.750843048095703,217.11099243164062,143.9556121826172,,26.151323318481445,36.31190490722656,172.14430236816406
2015-02-06,26.52558135986328,222.26600646972656,143.5846710205078,,26.320850372314453,36.27768325805664,171.66819763183594
2015-02-07,26.52558135986328,227.75399780273438,143.5846710205078,,26.320850372314453,36.27768325805664,171.66819763183594
2015-02-08,26.52558135986328,223.41200256347656,143.5846710205078,,26.320850372314453,36.27768325805664,171.66819763183594
2015-02-09,26.701778411865234,220.11000061035156,142.7783966064453,,26.163719177246094,36.23493194580078,170.89988708496094
2015-02-10,27.214752197265625,219.83900451660156,143.9232177734375,,26.61528778076172,36.44023513793945,172.72056579589844
2015-02-11,27.85264015197754,219.18499755859375,144.076416015625,,26.56720542907715,36.25204086303711,172.8207550048828
2015-02-12,28.20503044128418,221.76400756835938,144.99560546875,,26.912200927734375,36.859371185302734,174.48277282714844
2015-02-13,28.343311309814453,235.427001953125,145.39874267578125,,27.213579177856445,37.52656936645508,175.2010040283203
2015-02-14,28.343311309814453,257.3210144042969,145.39874267578125,,27.213579177856445,37.52656936645508,175.2010040283203
2015-02-15,28.343311309814453,234.8249969482422,145.39874267578125,,27.213579177856445,37.52656936645508,175.2010040283203
2015-02-16,28.343311309814453,233.84300231933594,145.39874267578125,,27.213579177856445,37.52656936645508,175.2010040283203
2015-02-17,28.510589599609375,243.61000061035156,145.58416748046875,,26.90774154663086,37.5438117980957,175.47662353515625
2015-02-18,28.70909309387207,236.3260040283203,145.50355529785156,,26.75209617614746,37.500732421875,175.4933624267578
2015-02-19,28.64887046813965,240.2830047607422,145.19712829589844,,26.909229278564453,37.47488784790039,175.3680877685547
