Portfolio,Annualized Return,Volatility,Sharpe,Portfolio_key
Tangency (Max Sharpe),0.3168270095476281,0.2620848522560515,1.0562495587389913,TANGENCY (MAX SHARPE)
Minimum Variance,0.096146735926464,0.1436448538426759,0.3908718928974481,MINIMUM VARIANCE
