Date,AAPL,BTC-USD,DIA,ETH-USD,GOOG,MSFT,SPY
2019-10-26,58.617030154143734,8667.5771484375,240.41010053073342,181.6670684814453,62.18188493454882,132.31599450186746,274.8946848648127
2019-10-27,58.617030154143734,9241.70703125,240.41010053073342,179.93263244628906,62.18188493454882,132.31599450186746,274.8946848648127
2019-10-28,59.643957081574385,9565.1015625,243.15793686166526,184.3975067138672,63.39567143737263,137.1209453180402,277.82933865827283
2019-10-29,60.01761216451279,9248.4404296875,242.87953297463966,182.67037963867188,63.434440248826135,136.81703911504002,277.8844105304318
2019-10-30,59.002731607403064,9422.462890625,243.23875668343288,190.33639526367188,62.278306548176936,136.28530753985297,278.2787631959688
2019-10-31,59.60057733000732,9202.4580078125,243.86735644121953,184.79762268066406,62.691350496795465,137.59572580867848,278.92071663743036
2019-11-01,60.15502027808922,9193.9921875,244.12765988327155,183.80369567871094,62.87625472704223,136.988007807433,279.64528447280276
2019-11-02,60.15502027808922,9259.783203125,244.12765988327155,184.01815795898438,62.87625472704223,136.988007807433,279.64528447280276
2019-11-03,60.15502027808922,9324.787109375,244.12765988327155,183.9948272705078,62.87625472704223,136.988007807433,279.64528447280276
2019-11-04,62.032895191525135,9235.607421875,246.70497884506443,182.31903076171875,63.44537561243563,137.52928156720455,282.33234327469734
2019-11-05,61.96540622347344,9413.0048828125,247.0193794938386,186.30931091308594,64.26252515900882,137.66218834476499,282.0939322729386
2019-11-06,61.89789976154054,9340.8642578125,246.96532022287226,189.11349487304688,64.09203044190406,137.09243605148154,281.58032682270664
2019-11-07,62.56006811548702,9352.3935546875,248.3483233734294,191.50430297851562,64.33160863339113,136.58918006935932,282.9926961715879
2019-11-08,62.54797637059694,9265.3681640625,248.88705975602562,187.9242706298828,64.8783556645977,136.7220794449466,282.2864817686958
2019-11-09,62.54797637059694,8809.46875,248.88705975602562,184.3117218017578,64.8783556645977,136.7220794449466,282.2864817686958
2019-11-10,62.54797637059694,8812.4892578125,248.88705975602562,184.943359375,64.8783556645977,136.7220794449466,282.2864817686958
2019-11-11,62.4536642890631,9056.91796875,247.6568877392688,189.5029296875,64.7739676643336,138.01356180000238,281.9379270620462
2019-11-12,63.23948552212569,8759.751953125,249.1295343941625,185.56483459472656,64.61591744934336,138.9061717993575,283.15777689122075
2019-11-13,63.1379381064506,8812.033203125,248.15073818492178,186.94244384765625,64.32115323814806,139.3429722951435,282.3873356217183
2019-11-14,63.77141692988812,8811.9365234375,249.53359824263862,188.2725067138672,64.49164289643579,139.6088673216014,283.1944338172831
2019-11-15,63.75448632476118,8705.7080078125,250.88618079873655,186.05816650390625,65.55731127917964,141.4225432396595,285.2396384480463
2019-11-16,63.75448632476118,8491.166015625,250.88618079873655,180.4990997314453,65.55731127917964,141.4225432396595,285.2396384480463
2019-11-17,63.75448632476118,8549.470703125,250.88618079873655,183.350830078125,65.55731127917964,141.4225432396595,285.2396384480463
2019-11-18,64.26706245836897,8573.98046875,251.6867647921389,185.0414581298828,66.21740646723971,142.50511076227926,285.7073936717571
2019-11-19,64.77482551987433,8305.134765625,252.64952826593202,180.50245666503906,65.99274457897758,143.2742952866258,286.7619903161452
2019-11-20,64.20422247493808,8203.61328125,250.67912862511122,177.415283203125,65.1994436329817,143.21868307530823,285.47808064779576
2019-11-21,63.7569281939861,8023.64453125,250.40033749827205,175.67359924316406,64.68947575026395,142.3516136750586,285.1203896186964
2019-11-22,63.49095218325043,7643.5693359375,250.44530527761074,161.50588989257812,64.89524764579755,142.9900648058093,285.3038601732193
2019-11-23,63.49095218325043,7296.16455078125,250.44530527761074,150.21221923828125,64.89524764579755,142.9900648058093,285.3038601732193
2019-11-24,63.49095218325043,7398.6337890625,250.44530527761074,153.43052673339844,64.89524764579755,142.9900648058093,285.3038601732193
2019-11-25,63.5199569508323,7039.97705078125,251.61492120210931,142.69700622558594,64.57516345367567,142.92333908686794,286.12009810599085
2019-11-26,64.54268939045748,7145.1591796875,252.86544794064025,146.40431213378906,65.10600201341572,144.21915487749325,287.4315113115607
2019-11-27,64.21389593173599,7220.880859375,253.35122719686052,148.39682006835938,65.3614819372558,145.14340360297194,288.5320770488151
2019-11-28,64.21389593173599,7536.8203125,253.35122719686052,153.06924438476562,65.3614819372558,145.14340360297194,288.5320770488151
2019-11-29,64.46052307454771,7466.72705078125,253.07231805919457,151.7686004638672,64.96982081322649,144.92425331880042,288.7612658029231
2019-11-30,64.46052307454771,7764.05712890625,253.07231805919457,155.28640747070312,64.96982081322649,144.92425331880042,288.7612658029231
2019-12-01,64.46052307454771,7571.6162109375,253.07231805919457,152.49192810058594,64.96982081322649,144.92425331880042,288.7612658029231
2019-12-02,64.62251495542668,7424.0361328125,253.20714937731987,151.17547607421875,64.66561827902797,144.64795637331872,288.5137165611036
2019-12-03,62.45609029176561,7323.9755859375,247.79136994332623,149.05824279785156,63.60045898980182,140.5318007247424,283.0660249698685
2019-12-04,63.12342226464594,7320.125,249.20386866634928,147.9183807373047,64.96434744967877,143.05670751583506,284.9462036260398
2019-12-05,63.78111112779262,7253.24169921875,249.97744468377766,146.68649291992188,66.00764491619245,142.97099224179425,286.349382128705
2019-12-06,64.67328570010923,7450.5615234375,251.40793544657322,149.396484375,66.2780383581295,143.86660450492423,288.0826446613596
2019-12-07,64.67328570010923,7547.265625,251.40793544657322,149.19760131835938,66.2780383581295,143.86660450492423,288.0826446613596
2019-12-08,64.67328570010923,7551.3388671875,251.40793544657322,148.74368286132812,66.2780383581295,143.86660450492423,288.0826446613596
2019-12-09,65.28258170328826,7561.79541015625,252.2985246290615,151.22439575195312,66.50668152823418,143.9428499594283,288.37622000783756
2019-12-10,64.94408288111636,7397.13427734375,251.6240291381801,148.1798553466797,66.67865276170055,144.15245575223852,287.80753474071696
2019-12-11,64.99484891870932,7277.19775390625,251.12004137625127,146.32064819335938,67.14288799631179,144.39065105754207,288.00010169021954
2019-12-12,64.74583653248257,7216.73876953125,251.4709123108574,143.61566162109375,66.89933533695924,144.49546930242354,288.36699162079026
2019-12-13,65.63559789190995,7244.662109375,253.63920122744562,145.6556854248047,66.99923977232856,145.78177689997253,290.60471473751363
2019-12-14,65.63559789190995,7268.90283203125,253.63920122744562,144.9534149169922,66.99923977232856,145.78177689997253,290.60471473751363
2019-12-15,65.63559789190995,7124.23974609375,253.63920122744562,142.864990234375,66.99923977232856,145.78177689997253,290.60471473751363
2019-12-16,66.97509482084416,7153.6630859375,254.53872355793476,143.1395263671875,67.42421609636604,147.79222981089387,292.75993388342044
2019-12-17,67.59649818434546,6931.3154296875,254.77258274575726,133.64718627929688,67.74183733933697,148.11618358561032,293.40183515290016
2019-12-18,67.65209515115492,6647.6982421875,255.31234106730685,122.6568374633789,67.42919823561188,147.02049871317288,293.4752311449463
2019-12-19,67.57957259640823,7277.5908203125,255.1865208277652,133.0527801513672,67.19160781443082,146.73462026137008,293.29183235661577
2019-12-20,68.23965230704795,7208.63671875,256.9673917536161,129.38436889648438,67.76470291106709,149.92659763555233,295.34208719318275
2019-12-21,68.23965230704795,7220.59375,256.9673917536161,129.09596252441406,67.76470291106709,149.92659763555233,295.34208719318275
2019-12-22,68.23965230704795,7191.1884765625,256.9673917536161,128.09812927246094,67.76470291106709,149.92659763555233,295.34208719318275
2019-12-23,67.82860019880438,7508.90234375,257.4907222624526,132.30699157714844,67.39290432752804,150.66026035279833,296.38356668467884
2019-12-24,68.83445648296811,7354.39306640625,257.7525378394923,128.62925720214844,67.02659376949306,150.05041264198692,296.27296796970865
2019-12-25,68.83445648296811,7325.755859375,257.7525378394923,129.06849670410156,67.02659376949306,150.05041264198692,296.27296796970865
2019-12-26,68.86586863074653,7274.79931640625,257.3915231596459,126.486328125,66.91078222160363,150.12666243826092,296.43881938387426
2019-12-27,70.38913790563515,7238.14111328125,258.83538580133273,126.3687973022461,67.74679674947791,151.92750592510328,298.364953856197
2019-12-28,70.38913790563515,7289.03125,258.83538580133273,127.2130126953125,67.74679674947791,151.92750592510328,298.364953856197
2019-12-29,70.38913790563515,7317.6474609375,258.83538580133273,128.26687622070312,67.74679674947791,151.92750592510328,298.364953856197
2019-12-30,69.98775853383768,7420.27294921875,258.39319888732706,134.79652404785156,67.1011372431102,151.48923347563817,297.63699559956973
2019-12-31,70.10142031241222,7294.43896484375,256.2003120342444,132.61227416992188,66.11251519920708,149.37392272055132,295.4066743067793
2020-01-01,70.10142031241222,7194.89208984375,256.2003120342444,129.6306610107422,66.11251519920708,149.37392272055132,295.4066743067793
2020-01-02,71.6270995236096,7202.55126953125,258.483458203125,130.82003784179688,66.68113625378123,151.28913816971797,298.18072230420165
2020-01-03,71.84710239518715,6984.4287109375,257.4908515754491,127.41126251220703,66.99477900920309,150.8508226765117,295.9871669024704
2020-01-04,71.84710239518715,7345.37548828125,257.4908515754491,134.16851806640625,66.99477900920309,150.8508226765117,295.9871669024704
2020-01-05,71.84710239518715,7410.45166015625,257.4908515754491,135.0720977783203,66.99477900920309,150.8508226765117,295.9871669024704
2020-01-06,71.03472433546915,7410.4521484375,256.5433059359775,136.3055419921875,67.10113580957623,149.66926763600281,295.36973462444496
2020-01-07,72.49752942348555,7768.68212890625,258.35714851482084,144.31199645996094,69.48398485337579,151.8036372690105,297.7015145356984
2020-01-08,71.84955532116523,8161.935546875,257.4727517292961,143.48782348632812,69.19270329039529,151.43204560824276,297.6277245862797
2020-01-09,74.28673353041597,8082.2958984375,260.74834712992055,141.15577697753906,70.60879777123672,154.2047723074657,300.5954125259726
2020-01-10,75.09913891873681,7878.3076171875,261.6598252131535,138.967041015625,70.9562228270138,155.13850446552647,301.63677721685497
2020-01-11,75.09913891873681,8162.19091796875,261.6598252131535,143.4091033935547,70.9562228270138,155.13850446552647,301.63677721685497
